s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.875,0.56,0.7,0.55,0.0159,0.9,16.5,0.0397,0.8188,0,0.5125,0.875,0.56,0.7,0.55,0.0,0.9,1.0,0.0397,0.826,True,0.5125
0.4255,0.52,0.55,0.75,1.9,0.7143,0.1842,0.375,0.0,1,0.0213,0.4255,0.52,0.55,0.75,1.9,0.7143,0.1842,0.375,-0.4297,False,0.1177
0.4894,0.9,0.5,0.8,0.8696,0.7778,0.4,0.2826,0.0,0,-0.0702,0.2553,0.9,0.5,0.8,1.6667,0.7778,0.4,0.5417,-0.6511,False,-0.1247
0.25,0.52,0.45,0.9,2.0667,1.2857,0.3065,0.5,-0.5368,1,0.0125,0.25,0.52,0.45,0.9,2.0667,1.2857,0.3065,0.5,-0.4385,False,0.0125
0.8,0.44,0.75,0.55,0.0962,0.7143,3.5,0.0481,0.7814,0,-0.0138,0.6923,0.44,0.75,0.55,0.0222,0.7143,17.5,0.0556,0.7914,False,0.0008
0.7308,0.18,0.65,0.7,0.0877,1.3,2.5,0.0789,0.0215,0,0.4923,0.5256,0.18,0.65,0.7,0.0,1.3,1.0,0.1098,0.3181,True,0.4923
0.8511,0.66,0.15,0.7,0.55,1.3333,0.3636,0.1375,0.0,1,0.0426,0.8511,0.66,0.15,0.7,0.55,1.3333,0.3636,0.1375,-0.3834,False,-0.0529
0.3684,0.4,0.4,0.85,1.5,1.0,0.2857,0.6071,-0.4453,2,0.0,0.3684,0.4,0.4,0.85,1.5,1.0,0.2857,0.6071,-0.4094,True,0.0
0.6338,0.4,0.55,0.7,0.2889,1.8,1.3462,0.1222,0.1873,0,-0.0592,0.4085,0.4,0.55,0.7,0.3793,1.8,1.5909,0.1897,0.4309,False,-0.0941
0.4688,0.32,0.5,0.75,0.6333,0.75,0.4474,0.1833,-0.2231,1,-0.0234,0.3125,0.32,0.5,0.75,0.95,0.75,0.4474,0.275,-0.3873,False,-0.0234
0.8214,0.52,0.25,0.65,0.6087,0.6667,0.2143,0.0761,0.0,1,0.0411,0.8214,0.52,0.25,0.65,0.6087,0.6667,0.2143,0.0761,-0.3088,False,0.0516
0.1765,0.94,0.5,0.95,7.1111,2.3333,0.0781,1.0556,-0.7472,2,0.2,0.1765,0.94,0.5,0.95,7.1111,2.3333,0.0781,1.0556,-0.7134,True,0.2
0.6,0.94,0.45,0.75,1.4667,0.5,0.1364,0.15,0.0,1,-0.048,0.34,0.94,0.45,0.75,2.5882,0.5,0.1364,0.2647,-0.67,False,-0.9389
0.4211,0.96,0.85,0.6,0.6875,0.75,1.5,0.4688,0.0,1,0.0211,0.4211,0.96,0.85,0.6,0.6875,0.75,1.5,0.4688,-0.3873,False,0.372
0.4688,0.46,0.7,0.9,1.7333,2.0,0.5192,0.5667,0.0,2,0.0,0.4688,0.46,0.7,0.9,1.7333,2.0,0.5192,0.5667,-0.3756,True,0.0
0.814,0.46,0.15,0.95,4.0286,1.8,0.0496,0.2143,0.0,1,-0.0779,0.4186,0.46,0.15,0.95,7.8333,1.8,0.0496,0.4167,-0.7358,False,0.0562
0.5152,0.52,0.3,0.6,1.4706,0.5,0.36,0.3824,0.0,0,-0.1364,0.0606,0.52,0.3,0.6,12.5,0.5,0.36,3.25,-0.8294,False,0.0536
0.6667,0.62,0.6,0.7,0.5227,0.8333,0.3696,0.125,-0.2531,0,0.0136,0.6515,0.62,0.6,0.7,0.4419,0.8333,0.4474,0.1279,0.0475,False,-0.0432
0.1333,0.68,0.55,0.95,16.5,1.4,0.0909,2.625,0.0,2,0.2,0.1333,0.68,0.55,0.95,16.5,1.4,0.0909,2.625,-0.5221,True,0.2
0.6226,0.38,0.75,0.6,0.0606,1.25,6.25,0.197,0.2982,0,0.4774,0.3396,0.38,0.75,0.6,0.0,1.25,1.0,0.3611,0.4309,True,0.4774
0.8846,0.44,0.65,0.65,0.9348,3.0,0.2442,0.1196,0.0,1,-0.0135,0.6923,0.44,0.65,0.65,1.1944,3.0,0.2442,0.1528,-0.4642,False,-0.008
0.4167,0.32,0.65,0.8,0.08,2.0,6.75,0.22,0.5702,1,0.0208,0.4167,0.32,0.65,0.8,0.08,2.0,6.75,0.22,0.4103,False,-0.0069
0.8033,0.8,0.65,0.7,0.1429,2.1667,2.2143,0.1531,0.7928,0,0.5787,0.8033,0.8,0.65,0.7,0.0,2.1667,1.0,0.1531,0.8167,True,0.5787
1.0,0.68,0.7,0.45,0.1538,1.5,1.0417,0.0577,0.0,0,0.0192,1.0,0.68,0.7,0.45,0.0897,1.5,1.7857,0.0577,0.8236,False,0.5235
1.0,0.58,0.75,0.7,0.3036,1.4,0.6765,0.1161,0.3015,0,0.0536,0.9821,0.58,0.75,0.7,0.1091,1.4,1.9167,0.1182,0.5269,False,0.5642
0.35,0.48,0.75,0.7,0.5714,1.0,2.1875,0.6786,0.0,0,0.605,0.35,0.48,0.75,0.7,0.0,1.0,1.0,0.6786,0.7042,True,0.605
0.1818,0.24,0.3,0.75,2.625,1.2,0.4286,0.8125,-0.3674,2,-1.1091,0.0,0.24,0.3,0.75,1.0,1.2,0.4286,1.0,-0.3847,True,-1.1091
0.4848,0.74,0.6,0.95,2.375,2.0,0.3816,0.6562,0.0,1,-1.1455,0.0,0.74,0.6,0.95,1.0,2.0,0.3816,1.0,-0.7219,True,-1.1455
0.7971,0.72,0.75,0.45,0.0727,1.0,4.375,0.0636,0.0,2,-0.3,0.7971,0.72,0.75,0.45,0.0727,1.0,4.375,0.0636,-0.2019,True,-0.3
0.5,0.38,0.6,0.7,0.08,1.2,6.75,0.22,0.7592,0,-0.006,0.46,0.38,0.6,0.7,0.0435,1.2,13.5,0.2391,0.7664,False,-0.1029
0.2931,0.0,0.5,0.65,1.9412,1.2857,0.4091,0.3824,-0.4687,1,-0.0578,0.0517,0.0,0.5,0.65,11.0,1.2857,0.4091,2.1667,-0.6354,False,-0.0578
