s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.7045,0.7805,0.8,0.7,0.5484,1.0,0.7941,0.1129,0.0,0,0.1977,0.5682,0.7805,0.8,0.7,0.16,1.0,3.375,0.14,0.5337,False,0.1394
0.4211,0.6444,0.55,0.6,0.2812,1.1429,1.3889,0.1719,0.4241,0,0.0,0.4211,0.6444,0.55,0.6,0.2812,1.1429,1.3889,0.1719,0.5923,False,0.0
0.6,0.2963,0.35,0.9,1.3704,1.6667,0.1351,0.2037,0.0,1,0.0133,0.4444,0.2963,0.35,0.9,1.85,1.6667,0.1351,0.275,0.1583,False,-0.9608
0.2464,0.5152,0.25,0.95,2.5294,1.0,0.1395,0.6176,-0.0565,1,-0.0275,0.0725,0.5152,0.25,0.95,8.6,1.0,0.1395,2.1,-0.1217,False,-0.0275
1.0,0.7,0.7,0.7,0.4545,0.6667,0.625,0.0568,0.5591,0,0.0545,0.9318,0.7,0.7,0.7,0.2195,0.6667,1.3889,0.061,1.0,False,0.2501
0.8113,1.0,0.85,0.65,0.4884,0.6667,0.5476,0.0814,0.0,0,0.0396,0.7925,1.0,0.85,0.65,0.3095,0.6667,0.8846,0.0833,0.3689,False,0.5898
0.9275,0.7805,0.7,0.7,0.3594,1.5,0.587,0.0703,0.0,0,0.0565,0.9275,0.7805,0.7,0.7,0.1562,1.5,1.35,0.0703,0.5494,False,0.6875
0.7308,0.8298,0.6,0.6,0.2895,1.5,0.9545,0.0921,0.2097,0,0.0,0.7308,0.8298,0.6,0.6,0.2895,1.5,0.9545,0.0921,0.5665,False,0.0
0.1429,0.15,0.3,0.95,9.75,1.3333,0.1795,2.625,0.0,2,0.2,0.1429,0.15,0.3,0.95,9.75,1.3333,0.1795,2.625,0.1146,True,0.2
0.2031,1.0,0.5,0.75,3.3846,1.1111,0.1591,0.5,0.0,1,-0.0359,0.0156,1.0,0.5,0.75,44.0,1.1111,0.1591,6.5,-0.0008,False,-0.9572
0.4355,0.9167,0.6,0.65,0.6667,1.25,0.5278,0.1667,0.0,0,0.0,0.4355,0.9167,0.6,0.65,0.6667,1.25,0.5278,0.1667,0.0859,False,0.544
1.0,0.6,0.7,0.5,0.3061,1.2,0.7,0.1122,0.0,0,0.5918,1.0,0.6,0.7,0.5,0.0,1.2,1.0,0.1122,0.7345,True,0.5918
0.4533,0.2,0.75,0.55,0.5,1.25,0.5588,0.1324,1.0,0,0.0,0.4533,0.2,0.75,0.55,0.5,1.25,0.5588,0.1324,1.0,False,0.0
0.2576,0.7353,0.45,0.95,1.6471,1.75,0.2143,0.5588,0.0,1,-0.0015,0.1667,0.7353,0.45,0.95,2.5455,1.75,0.2143,0.8636,0.0391,False,-0.0116
0.519,0.1667,0.6,0.55,0.3415,1.5,1.0357,0.1098,0.3126,0,0.0,0.5063,0.1667,0.6,0.55,0.325,1.5,1.1154,0.1125,0.4217,False,-0.0171
0.4,0.9143,0.6,0.75,0.95,1.0,0.6579,0.325,0.4578,0,-0.078,0.14,0.9143,0.6,0.75,2.7143,1.0,0.6579,0.9286,0.4673,False,-0.078
0.15,0.6154,0.45,0.95,3.5556,1.3333,0.1562,0.8333,-0.0272,2,-1.085,0.0,0.6154,0.45,0.95,1.0,1.3333,0.1562,1.0,-0.0808,True,-1.085
0.4776,0.2778,0.3,0.95,0.8125,2.5,0.1923,0.2656,0.0,1,0.0119,0.3582,0.2778,0.3,0.95,1.0833,2.5,0.1923,0.3542,0.1501,False,-1.0061
0.4375,0.5833,0.55,0.9,2.0476,1.0,0.1628,0.3095,0.0497,1,-0.0687,0.0625,0.5833,0.55,0.9,14.3333,1.0,0.1628,2.1667,0.0713,False,-0.0687
0.5185,0.5294,0.8,0.6,0.5714,1.0,0.5938,0.1607,0.0,0,0.0444,0.5185,0.5294,0.8,0.6,0.2857,1.0,1.1875,0.1607,0.3633,False,0.7199
0.0541,0.1538,0.35,0.95,23.0,2.0,0.1087,3.75,0.0,2,-1.073,0.0,0.1538,0.35,0.95,1.0,2.0,0.1087,1.0,-0.079,True,-1.073
0.5652,0.1667,0.7,0.65,1.0,1.25,0.3269,0.0962,0.868,0,0.0065,0.5652,0.1667,0.7,0.65,0.9615,1.25,0.34,0.0962,1.0,False,-0.0616
0.25,0.7273,0.35,0.75,2.6154,1.5,0.1471,0.5,0.1024,1,-0.0385,0.0385,0.7273,0.35,0.75,17.0,1.5,0.1471,3.25,0.1961,False,-0.0385
0.907,0.4412,0.6,0.5,0.0256,1.5,14.5,0.0897,0.7254,0,0.5698,0.8837,0.4412,0.6,0.5,0.0,1.5,1.0,0.0921,1.0,True,0.5698
0.0213,0.0909,0.5,0.95,35.0,1.4444,0.1429,9.5,0.0,2,0.2,0.0213,0.0909,0.5,0.95,35.0,1.4444,0.1429,9.5,0.0248,True,0.2
0.0455,0.1,0.5,0.95,50.0,1.1,0.1,8.5,0.0,2,-1.0682,0.0,0.1,0.5,0.95,1.0,1.1,0.1,1.0,0.0123,True,-1.0682
0.2712,0.0938,0.45,0.85,1.5,1.75,0.2083,0.4062,0.6263,1,-0.0492,0.0169,0.0938,0.45,0.85,24.0,1.75,0.2083,6.5,0.704,False,-0.0492
0.3654,0.4286,0.55,0.7,1.1053,0.5,0.4524,0.2368,0.1693,0,0.2365,0.3462,0.4286,0.55,0.7,0.2778,0.5,1.9,0.25,0.7605,False,-0.7354
0.0345,0.2692,0.35,0.95,26.0,1.4,0.0962,5.25,0.0,2,0.2,0.0345,0.2692,0.35,0.95,26.0,1.4,0.0962,5.25,0.0018,True,0.2
0.5116,0.4828,0.4,0.75,1.5,4.0,0.1818,0.3409,0.0678,1,0.0512,0.5116,0.4828,0.4,0.75,1.5,4.0,0.1818,0.3409,0.2088,False,0.0799
0.0597,0.5143,0.4,0.95,12.0,1.4286,0.125,1.625,0.0535,2,0.2,0.0597,0.5143,0.4,0.95,12.0,1.4286,0.125,1.625,0.0958,True,0.2
0.5217,0.2,0.65,0.6,0.2222,1.0,1.4375,0.125,0.21,0,0.5391,0.4493,0.2,0.65,0.6,0.0,1.0,1.0,0.1452,0.8197,True,0.5391
0.119,0.0,0.3,0.85,10.0,4.0,0.14,1.3,0.153,2,0.2,0.119,0.0,0.3,0.85,10.0,4.0,0.14,1.3,0.2016,True,0.2
0.05,0.0,0.35,0.95,31.5,2.5,0.0794,5.25,0.0,2,0.2,0.05,0.0,0.35,0.95,31.5,2.5,0.0794,5.25,-0.0121,True,0.2
0.4348,0.6047,0.65,0.65,0.45,1.125,1.5,0.325,-0.0421,0,-0.0522,0.2609,0.6047,0.65,0.65,0.75,1.125,1.5,0.5417,0.0958,False,0.429
